#{"t_start": 1787305788.601611, "env_id": "HandManipulateBlockRotateZ-v1"}
r,l,t
-100.0,100,1116.610559
-83.0,100,1118.14459
-66.0,100,1119.716259
-52.0,100,1121.206992
-100.0,100,1122.48748
-100.0,100,1123.758341
-100.0,100,1125.325662
-100.0,100,1126.971161
-100.0,100,1128.496426
-100.0,100,1129.905798
-100.0,100,1131.348397
-33.0,100,1132.818103
-100.0,100,1134.328427
-5.0,100,1135.923264
-100.0,100,1137.476061
-100.0,100,1139.01456
-100.0,100,1140.551171
-100.0,100,1141.958267
-100.0,100,1143.471846
-100.0,100,1145.109667
-100.0,100,1146.586201
-100.0,100,1148.082125
-100.0,100,1149.601909
-100.0,100,1151.069273
-100.0,100,1152.486537
-100.0,100,1154.066603
-100.0,100,1155.723339
-11.0,100,1157.325879
-100.0,100,1158.70226
-100.0,100,1160.18656
-100.0,100,1161.734396
-24.0,100,1163.313083
-100.0,100,1164.671212
-100.0,100,1166.21616
-10.0,100,1167.74985
-100.0,100,1169.167258
-100.0,100,1170.737587
-100.0,100,1172.417867
-5.0,100,1173.972383
-100.0,100,1175.514153
-100.0,100,1176.854883
-24.0,100,1178.110015
-100.0,100,1179.353706
-100.0,100,1180.967844
-77.0,100,1182.608963
-100.0,100,1184.186044
-100.0,100,1185.73503
-53.0,100,1187.244264
-100.0,100,1188.566726
-100.0,100,1190.187148
-11.0,100,1191.754619
-5.0,100,1193.349638
-100.0,100,1194.773625
-100.0,100,1196.277529
-100.0,100,1197.809966
-100.0,100,1199.417003
-100.0,100,1201.0443
-80.0,100,1202.705443
-100.0,100,1204.195438
-28.0,100,1205.584758
-100.0,100,1206.98831
-29.0,100,1208.500147
-100.0,100,1210.063483
-100.0,100,1211.66995
-100.0,100,1213.145727
-100.0,100,1214.50066
-100.0,100,1216.011841
-100.0,100,1217.400918
-100.0,100,1218.954591
-12.0,100,1220.500498
-100.0,100,1221.880076
-100.0,100,1223.422311
-100.0,100,1224.872655
-100.0,100,1226.317787
-100.0,100,1227.846346
-24.0,100,1229.26188
-100.0,100,1230.882802
-100.0,100,1232.131693
-100.0,100,1233.387343
-31.0,100,1234.670178
-69.0,100,1236.257199
-21.0,100,1237.870154
-100.0,100,1239.431002
-100.0,100,1240.865113
-100.0,100,1242.269527
-100.0,100,1243.74775
-87.0,100,1245.234419
-100.0,100,1246.818719
-100.0,100,1248.340829
-53.0,100,1249.743063
-76.0,100,1251.038569
-100.0,100,1252.278985
-100.0,100,1253.880758
-53.0,100,1255.472203
-100.0,100,1256.982403
