#{"t_start": 1787311566.162663, "env_id": "HandManipulateBlockRotateZ-v1"}
r,l,t
-100.0,100,1447.576193
-100.0,100,1449.129467
-100.0,100,1450.723767
-100.0,100,1452.232858
-100.0,100,1453.588876
-13.0,100,1454.892886
-60.0,100,1456.174603
-100.0,100,1457.542871
-54.0,100,1459.140116
-82.0,100,1460.613309
-100.0,100,1462.093899
-100.0,100,1463.694371
-100.0,100,1465.19963
-100.0,100,1466.660562
-100.0,100,1468.239303
-88.0,100,1469.841951
-100.0,100,1471.525206
-37.0,100,1472.911357
-100.0,100,1474.456703
-28.0,100,1476.048102
-100.0,100,1477.621871
-100.0,100,1479.055336
-100.0,100,1480.583884
-34.0,100,1482.027912
-100.0,100,1483.435798
-97.0,100,1484.87192
-100.0,100,1486.294085
-1.0,100,1487.861101
-4.0,100,1489.490449
-100.0,100,1490.984194
-100.0,100,1492.353953
-100.0,100,1493.828062
-14.0,100,1495.316271
-14.0,100,1496.926779
-100.0,100,1498.532291
-100.0,100,1499.749392
-100.0,100,1501.020766
-100.0,100,1502.429527
-100.0,100,1504.022695
-64.0,100,1505.577665
-100.0,100,1507.190534
-100.0,100,1508.516745
-23.0,100,1509.761372
-3.0,100,1511.014331
-4.0,100,1512.518274
-69.0,100,1514.008357
-100.0,100,1515.641788
-100.0,100,1517.160374
-85.0,100,1518.565935
-100.0,100,1520.023124
-100.0,100,1521.284113
-100.0,100,1522.827776
-42.0,100,1524.197366
-100.0,100,1525.763717
-100.0,100,1527.227653
-100.0,100,1528.662177
